insectID,plant,instar,day,status
12,grape,3rd instar,42,0
13,grape,3rd instar,42,0
14,grape,3rd instar,42,0
15,grape,3rd instar,42,0
16,grape,3rd instar,42,0
17,grape,3rd instar,42,0
18,grape,3rd instar,42,0
19,grape,3rd instar,42,0
20,grape,3rd instar,42,0
21,grape,3rd instar,42,0
22,grape,3rd instar,42,1
23,grape,3rd instar,42,1
24,grape,2nd instar,42,1
25,grape,2nd instar,42,1
26,grape,2nd instar,42,1
27,grape,1st instar,42,1
28,grape,1st instar,42,1
29,grape,1st instar,42,1
30,grape,1st instar,42,1
1,grape,4th instar,49,0
2,grape,4th instar,49,0
3,grape,4th instar,49,0
4,grape,4th instar,49,0
5,grape,3rd instar,49,0
6,grape,3rd instar,49,0
7,grape,3rd instar,49,0
8,grape,3rd instar,49,0
9,grape,3rd instar,49,0
10,grape,3rd instar,49,0
11,grape,3rd instar,49,0
12,grape,3rd instar,49,0
13,grape,3rd instar,49,0
14,grape,3rd instar,49,0
15,grape,3rd instar,49,0
16,grape,3rd instar,49,0
17,grape,3rd instar,49,0
18,grape,3rd instar,49,0
19,grape,3rd instar,49,1
20,grape,3rd instar,49,1
21,grape,3rd instar,49,1
22,grape,3rd instar,49,1
23,grape,3rd instar,49,1
24,grape,2nd instar,49,1
25,grape,2nd instar,49,1
26,grape,2nd instar,49,1
27,grape,1st instar,49,1
28,grape,1st instar,49,1
29,grape,1st instar,49,1
30,grape,1st instar,49,1
1,grape,4th instar,56,0
2,grape,4th instar,56,0
3,grape,4th instar,56,0
4,grape,4th instar,56,0
5,grape,4th instar,56,0
6,grape,4th instar,56,0
7,grape,4th instar,56,0
8,grape,3rd instar,56,0
9,grape,3rd instar,56,0
10,grape,3rd instar,56,0
11,grape,3rd instar,56,0
12,grape,3rd instar,56,0
13,grape,3rd instar,56,0
14,grape,3rd instar,56,1
15,grape,3rd instar,56,1
16,grape,3rd instar,56,1
17,grape,3rd instar,56,1
18,grape,3rd instar,56,1
19,grape,3rd instar,56,1
20,grape,3rd instar,56,1
21,grape,3rd instar,56,1
22,grape,3rd instar,56,1
23,grape,3rd instar,56,1
24,grape,2nd instar,56,1
25,grape,2nd instar,56,1
26,grape,2nd instar,56,1
27,grape,1st instar,56,1
28,grape,1st instar,56,1
29,grape,1st instar,56,1
30,grape,1st instar,56,1
1,grape,4th instar,63,0
2,grape,4th instar,63,0
3,grape,4th instar,63,0
4,grape,4th instar,63,0
5,grape,4th instar,63,0
6,grape,4th instar,63,1
7,grape,4th instar,63,1
8,grape,3rd instar,63,1
9,grape,3rd instar,63,1
10,grape,3rd instar,63,1
11,grape,3rd instar,63,1
